EventRecordID,Execution_ProcessID,ProcessId,SystemTime_day,SystemTime_hour,SystemTime_minute,Label,EventID_0.0,EventID_1.0,EventID_2.0,EventID_3.0,EventID_4.0,EventID_5.0,EventID_6.0,EventID_7.0,EventID_8.0,EventID_10.0,EventID_11.0,EventID_12.0,EventID_13.0,EventID_15.0,EventID_16.0,EventID_17.0,EventID_18.0,EventID_22.0,EventID_23.0,EventID_255.0,Computer_0,Computer_LAPTOP-ROPR18AK,Computer_WIN-J23NIGGP1Q6.sysmon_set.local,Computer_WINDOWS10EVAL.stefania.local,Computer_win-dc-128.attackrange.local,Computer_win-dc-469.attackrange.local,Computer_win-host-987.attackrange.local,Initiated_0,Initiated_02,Initiated_False,Initiated_True,SourceIsIpv6_0,SourceIsIpv6_02,SourceIsIpv6_False,SourceIsIpv6_True,DestinationPortName_0,DestinationPortName_02,DestinationPortName_bootps,DestinationPortName_dhcpv6-server,DestinationPortName_domain,DestinationPortName_epmap,DestinationPortName_http,DestinationPortName_https,DestinationPortName_kerberos,DestinationPortName_kpasswd,DestinationPortName_ldap,DestinationPortName_llmnr,DestinationPortName_microsoft-ds,DestinationPortName_ms-wbt-server,DestinationPortName_msft-gc,DestinationPortName_netbios-dgm,DestinationPortName_netbios-ns,DestinationPortName_ntp,DestinationPortName_ssdp,DestinationPortName_ws-discovery,DestinationPortName_wsd,SystemTime_year_2022,SystemTime_year_2023,SystemTime_month_10,SystemTime_month_11,SystemTime_month_12,SystemTime_week_41,SystemTime_week_45,SystemTime_week_46,SystemTime_week_47,SystemTime_week_48,SystemTime_week_49,SystemTime_day_of_week_0,SystemTime_day_of_week_1,SystemTime_day_of_week_2,SystemTime_day_of_week_3,SystemTime_day_of_week_4,SystemTime_day_of_week_5,SystemTime_day_of_week_6
3.925730892754856e-05,0.1014686248331108,0.026748005631159,0.1923076923076923,0.3478260869565217,0.288135593220339,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6.489986655441538e-06,0.263208086973107,0.0001564210855623,0.4230769230769231,0.4782608695652174,0.1694915254237288,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6.068930995325087e-05,0.0,0.0156421085562333,0.1923076923076923,0.0869565217391304,0.5254237288135594,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1.052948295416031e-05,0.2706465763875644,0.0001564210855623,0.4615384615384615,0.0869565217391304,0.864406779661017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3.986529433985573e-05,0.1014686248331108,0.026748005631159,0.1923076923076923,0.3478260869565217,0.1694915254237288,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0.2386986424675007,0.0,0.2264977318942593,0.1538461538461538,0.2608695652173913,0.0847457627118644,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0.2386979293727459,0.0,0.0608478022837478,0.1153846153846153,1.0,0.3220338983050847,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
8.963147654657112e-06,0.0,0.0001564210855623,0.3461538461538461,0.9130434782608696,0.7966101694915254,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
9.400072764518531e-06,0.0,0.3220710151728453,0.3846153846153846,0.4347826086956521,0.711864406779661,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.2389100606355186,0.0,0.1155951822305646,0.1538461538461538,0.3043478260869565,0.2372881355932203,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
